iterations = 22, 0.018, 0.153, 0.119, 4, 6679670.0, changed = True, neighbourhood = 19 
iterations = 24, 0.022, 0.123, 0.179, 6, 10139590.0, changed = True, neighbourhood = 18 
iterations = 26, 0.019, 0.08, 0.24, 5, 12719010.0, changed = True, neighbourhood = 20 
iterations = 28, 0.055, 0.183, 0.3, 9, 16345760.0, changed = True, neighbourhood = 18 
iterations = 30, 0.03, 0.084, 0.361, 6, 19280980.0, changed = True, neighbourhood = 17 
iterations = 32, 0.06, 0.142, 0.421, 8, 22902660.0, changed = True, neighbourhood = 18 
iterations = 34, 0.073, 0.171, 0.425, 7, 22711430.0, changed = True, neighbourhood = 11 
iterations = 36, 0.051, 0.118, 0.429, 7, 22934860.0, changed = True, neighbourhood = 11 
iterations = 38, 0.062, 0.142, 0.433, 9, 23167030.0, changed = True, neighbourhood = 10 
iterations = 40, 0.078, 0.179, 0.438, 7, 23372120.0, changed = True, neighbourhood = 12 
iterations = 42, 0.096, 0.217, 0.442, 7, 23592590.0, changed = True, neighbourhood = 14 
iterations = 44, 0.33, 0.741, 0.446, 9, 26004650.0, changed = True, neighbourhood = 11 
iterations = 45, 0.285, 0.639, 0.446, 9, 26004650.0, changed = False, neighbourhood = 8 
iterations = 46, 0.285, 0.639, 0.446, 9, 26004650.0, changed = False, neighbourhood = 10 
iterations = 48, 0.138, 0.31, 0.446, 9, 24938510.0, changed = False, neighbourhood = 11 
iterations = 49, 0.112, 0.252, 0.446, 9, 24938510.0, changed = False, neighbourhood = 16 
iterations = 50, 0.074, 0.167, 0.446, 6, 23999720.0, changed = True, neighbourhood = 11 
[{'id': '222_1', 'cost': 4460, 'act': 5103, 'utils': {'Role 1': 0.0, 'Role 2': 0.06}}, {'id': '4_1', 'cost': 100, 'act': 6006, 'utils': {'Role 1': 0.23, 'Role 2': 0.01}}, {'id': '3_1', 'cost': 80, 'act': 6756, 'utils': {'Role 1': 0.34, 'Role 2': 0.01}}, {'id': '2_1', 'cost': 60, 'act': 7730, 'utils': {'Role 1': 0.45, 'Role 2': 0.0}}, {'id': '1_1', 'cost': 40, 'act': 76181, 'utils': {'Role 1': 0.92, 'Role 2': 0.01}}, {'id': '4_2', 'cost': 120, 'act': 5392, 'utils': {'Role 1': 0.21, 'Role 2': 0.0}}] 
--------------------------------------------------- 
Total time elapsed for 5 experiments (sec) = 2015.0430467128754 
--------------------------------------------------- 
