[{'id': '1_8_1_5_1_1', 'cost': 340, 'act': 1426116, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.37, 'Role 2': 0.97, 'Role 4': 0.89, 'Role 5': 0.09}}, {'id': '1_7_1_5_1_1', 'cost': 320, 'act': 2096572, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.32, 'Role 2': 0.97, 'Role 4': 0.78, 'Role 5': 0.08}}, {'id': '1_5_1_4_1_1', 'cost': 260, 'act': 4231265, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.24, 'Role 2': 0.99, 'Role 4': 0.72, 'Role 5': 0.05}}, {'id': '1_5_1_3_1_1', 'cost': 240, 'act': 4696791, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.21, 'Role 2': 0.9, 'Role 4': 0.84, 'Role 5': 0.05}}, {'id': '1_6_1_4_1_1', 'cost': 280, 'act': 2978697, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.27, 'Role 2': 0.98, 'Role 4': 0.8, 'Role 5': 0.06}}, {'id': '1_8_1_5_1_2', 'cost': 360, 'act': 996539, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.37, 'Role 2': 0.94, 'Role 4': 0.91, 'Role 5': 0.09}}, {'id': '1_9_1_6_1_1', 'cost': 380, 'act': 907756, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.41, 'Role 2': 0.98, 'Role 4': 0.83, 'Role 5': 0.1}}, {'id': '1_4_1_3_1_1', 'cost': 220, 'act': 6294782, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.18, 'Role 2': 0.96, 'Role 4': 0.73, 'Role 5': 0.04}}, {'id': '1_6_1_4_2_1', 'cost': 300, 'act': 2620645, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.27, 'Role 2': 0.96, 'Role 4': 0.82, 'Role 5': 0.03}}, {'id': '1_10_1_6_1_1', 'cost': 400, 'act': 647251, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.46, 'Role 2': 0.96, 'Role 4': 0.92, 'Role 5': 0.11}}, {'id': '1_3_1_3_1_1', 'cost': 200, 'act': 9124102, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.14, 'Role 2': 0.99, 'Role 4': 0.56, 'Role 5': 0.03}}, {'id': '1_3_1_2_1_1', 'cost': 180, 'act': 10978377, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.13, 'Role 2': 0.88, 'Role 4': 0.74, 'Role 5': 0.03}}, {'id': '1_11_1_7_1_1', 'cost': 440, 'act': 313519, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.49, 'Role 2': 0.93, 'Role 4': 0.83, 'Role 5': 0.1}}, {'id': '2_12_1_7_1_1', 'cost': 480, 'act': 219644, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.24, 'Role 2': 0.83, 'Role 4': 0.81, 'Role 5': 0.11}}, {'id': '1_2_1_2_1_1', 'cost': 160, 'act': 14787108, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.1, 'Role 2': 0.99, 'Role 4': 0.57, 'Role 5': 0.02}}, {'id': '1_10_1_7_1_1', 'cost': 420, 'act': 336368, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.45, 'Role 2': 0.95, 'Role 4': 0.77, 'Role 5': 0.1}}, {'id': '1_12_1_7_1_1', 'cost': 460, 'act': 283820, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.47, 'Role 2': 0.81, 'Role 4': 0.83, 'Role 5': 0.11}}, {'id': '2_12_1_7_1_2', 'cost': 500, 'act': 200547, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.23, 'Role 2': 0.79, 'Role 4': 0.79, 'Role 5': 0.1}}, {'id': '1_2_1_1_1_1', 'cost': 140, 'act': 24004108, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.07, 'Role 2': 0.71, 'Role 4': 0.83, 'Role 5': 0.02}}, {'id': '1_1_1_1_1_1', 'cost': 120, 'act': 35646359, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.05, 'Role 2': 0.96, 'Role 4': 0.56, 'Role 5': 0.01}}] 

iterations = 2, 0.014, 0.216, 0.067, 3, 147461070.0, changed = True, neighbourhood = 295 
iterations = 4, 0.027, 0.272, 0.1, 4, 194412560.0, changed = True, neighbourhood = 242 
iterations = 6, 0.069, 0.343, 0.2, 7, 344685900.0, changed = True, neighbourhood = 202 
iterations = 8, 0.116, 0.436, 0.267, 8, 385368250.0, changed = True, neighbourhood = 283 
iterations = 10, 0.122, 0.367, 0.333, 9, 408577940.0, changed = True, neighbourhood = 248 
iterations = 12, 0.121, 0.405, 0.3, 10, 392271490.0, changed = True, neighbourhood = 286 
iterations = 14, 0.159, 0.432, 0.367, 10, 387127930.0, changed = True, neighbourhood = 290 
iterations = 16, 0.18, 0.417, 0.433, 11, 402216860.0, changed = True, neighbourhood = 356 
